,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
10000,7KKre8EbV95w_MbYTknCPw,Sonic Drive-In,745 W Highway 50,O'fallon,IL,62269,38.5881713,-89.9271964,1.5,30,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'False', 'CoatCheck': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'Caters': 'False', 'Alcohol': ""'none'"", 'WiFi': ""u'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'WheelchairAccessible': 'True', 'HappyHour': 'False', 'RestaurantsDelivery': 'True', 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'HasTV': 'True', 'DriveThru': 'True'}","Burgers, Ice Cream & Frozen Yogurt, Restaurants, Food, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-21:0'}"
10049,qXZooaeOrKHCrLHK99VHwg,Chick-fil-A,6203 N Illinois St,Fairview Heights,IL,62208,38.5899403,-89.985405,4.5,78,1,"{'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""'none'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""'free'"", 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}"", 'DriveThru': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'HasTV': 'False', 'RestaurantsAttire': ""u'casual'""}","Event Planning & Services, Restaurants, Caterers, Fast Food, Chicken Shop","{'Monday': '0:0-0:0', 'Tuesday': '10:30-18:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-16:0', 'Sunday': '6:30-20:0'}"
10197,u7koIU81eSTmwryk1LMQsA,Hardee's,519 Belt Line Rd,Collinsville,IL,62234,38.69131729,-89.98022487,2.5,5,1,"{'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'DriveThru': 'True', 'HasTV': 'True'}","Fast Food, Restaurants, Burgers","{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '6:0-22:0'}"
10270,6Kc2FhLppRhWBXDKxjxj2A,Subway,"Shepard Plz, Ste 2",Maryville,IL,62062,38.73682754,-89.95620281,2.5,10,1,"{'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'none'"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'average'"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'False'}","Sandwiches, Restaurants, Fast Food","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '9:0-19:0'}"
10322,gXg277YblY5xsaeMzJ73TA,Wang Gang Asian,1035 Century Dr,Edwardsville,IL,62025,38.7872317,-89.9815262,3.5,168,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'full_bar'"", 'HappyHour': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsTableService': 'True', 'DogsAllowed': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': None}"", 'Ambience': ""{u'divey': False, u'hipster': None, u'casual': True, u'touristy': False, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}"", 'Corkage': 'True', 'BYOB': 'False'}","Asian Fusion, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '10:0-20:0'}"
10446,0PGxzpoXZKYNRFD_7_thpA,Mark's Appliance,1507 Troy Rd,Edwardsville,IL,62025,38.7947912,-89.9515205,3.5,17,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Home & Garden, Home Decor, Appliances & Repair, Shopping, Local Services, Appliances, Mattresses, Electronics","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-16:0'}"
10620,8ZY4F9_Drrjk7e79BWEwoQ,A Wildflower Shop,2131 S State Rte 157,Edwardsville,IL,62025,38.77799026,-89.98569992,4,15,1,"{'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'None', 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '2'}","Shopping, Party & Event Planning, Florists, Gift Shops, Event Planning & Services, Flowers & Gifts, Wedding Planning","{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-15:0', 'Saturday': '9:0-12:0'}"
10662,3QBpL29M2V4bIe_WZKg5lQ,Papa Vito's - Millstadt,741 W Washington,Millstadt,IL,62260,38.4622167,-90.0990108,3.5,7,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'no'"", 'Caters': 'True', 'BYOB': 'False', 'RestaurantsReservations': 'False', 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True'}","Pizza, Italian, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}"
10696,tqc44WEwLNpESFFtQOzPiQ,Great Rivers Tap & Grill,3559-B College Ave,Alton,IL,62002,38.9032424,-90.1311499,3.5,24,1,"{'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'WheelchairAccessible': 'True', 'Corkage': 'False', 'BikeParking': 'True', 'DogsAllowed': 'False', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'Caters': 'True', 'BYOB': 'False', 'Alcohol': ""u'beer_and_wine'""}","Hotels, Restaurants, Diners, American (New), Hotels & Travel, American (Traditional), Event Planning & Services, Gastropubs","{'Monday': '0:0-0:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-22:0'}"
10796,c2HzB7UmtGnXSOR4bg3-JQ,Dragon Palace,"1 Southview Plz, Ste A",O Fallon,IL,62269,38.58096425,-89.9095141,2.5,9,0,"{'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'beer_and_wine'"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'""}","Restaurants, Chinese","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-22:0'}"
10946,yheGRZWHC-RJoKlqepj0hw,Subway,525 Troy Plz,Troy,IL,62294,38.73336645,-89.89835554,1.5,11,1,"{'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Caters': 'True'}","Fast Food, Sandwiches, Restaurants","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-19:0'}"
11026,I6M5goqo_L96i7HBpoiTjQ,Nail Care,2687 N Illinois St,Swansea,IL,62226,38.543734,-89.985322,4.5,24,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Nail Salons, Beauty & Spas",
11332,e9FbhsQ2t1rrHHRhvwnprw,Sundazzlers,6453 Center Grove Rd,Edwardsville,IL,62025,38.7845451,-89.961399,5,6,0,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Tanning, Spray Tanning, Beauty & Spas","{'Monday': '9:0-21:30', 'Tuesday': '9:0-21:30', 'Wednesday': '9:0-21:30', 'Thursday': '9:0-21:30', 'Friday': '9:0-20:0', 'Saturday': '9:0-18:0', 'Sunday': '9:0-18:0'}"
11423,iIR__H6wEjiSvURIbBc4yw,The UPS Store,17 Junction Dr,Glen Carbon,IL,62034,38.77556653,-89.95606552,3.5,7,1,{'BusinessAcceptsCreditCards': 'True'},"Local Services, Notaries, Shipping Centers, Printing Services, Mailbox Centers","{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:30', 'Wednesday': '8:0-18:30', 'Thursday': '8:0-18:30', 'Friday': '8:0-18:30', 'Saturday': '9:0-15:0'}"
11446,RKde9bbapEfl_EewG7-ImA,Afterwords Books,441 E Vandalia St,Edwardsville,IL,62025,38.8125471,-89.9501892,4.5,9,1,"{'BikeParking': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Shopping, Books, Mags, Music & Video, Bookstores","{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-15:0'}"
11460,M8mbS6jeSHnne6bu5Sxung,Traveling Tails Inn,2764 Rte 66 Business Park Dr,Edwardsville,IL,62025,38.7600466,-90.0176618,3.5,11,1,{'ByAppointmentOnly': 'True'},"Pet Training, Pet Sitting, Pet Services, Pet Boarding, Pet Groomers, Pets","{'Monday': '6:0-18:0', 'Tuesday': '6:0-18:0', 'Wednesday': '6:0-18:0', 'Thursday': '6:0-18:0', 'Friday': '6:0-18:0', 'Saturday': '7:0-17:0', 'Sunday': '7:0-17:0'}"
11487,eM64YFx3lLTDgJYqn4YEpA,Arby's,5509 Godfrey Rd,Godfrey,IL,62035,38.9463706,-90.190287,1.5,6,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'WiFi': ""'no'"", 'BikeParking': 'False', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""'none'"", 'DriveThru': 'True', 'NoiseLevel': ""'quiet'"", 'RestaurantsTakeOut': 'None', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsDelivery': 'True', 'HasTV': 'True'}","Sandwiches, Fast Food, Restaurants",
11603,h5WHp4sVy7v1ezQ95Q5Aqg,Grace Manor Restaurant,1801 N Main St,Edwardsville,IL,62025,38.8222051,-89.9679834,3,11,0,"{'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'quiet'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '3', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsTakeOut': 'True'}",Restaurants,"{'Tuesday': '11:0-15:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '10:0-14:0'}"
11694,oGasubjIH66zvfp1_4LZcQ,Babies R Us,114 Commerce Ln,Fairview Heights,IL,62208,38.5984863,-89.9898792,2,6,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False'}","Baby Gear & Furniture, Shopping",
11785,G9ez1w58i_ReNqnlRoSpBA,WangGang Asian Eats N Beats,4 Club Centre Dr,Edwardsville,IL,62025,38.7779486,-89.9846396,3.5,35,0,"{'RestaurantsReservations': 'False', 'Alcohol': ""u'beer_and_wine'"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'False', 'HasTV': 'False', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'""}","Restaurants, Asian Fusion","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-20:0'}"
11966,sMjjClYrGEXcTFG66qmg8A,Thai House,109 S Main St,Columbia,IL,62236,38.442545,-90.19959,4.5,117,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': None, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'Caters': 'True'}","Thai, Restaurants, Noodles, Vegetarian","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-21:0'}"
12042,ur6Gb8tYeiYKWC3t3pkaCw,Max & Erma's,315 Saint Clair Sq,Fairview Heights,IL,62208,38.595098,-89.9814277,2,5,0,"{'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'""}","American (New), Restaurants",
12085,O8wgk23gex2Dwktm1gd_Lg,KFC,4914 W Main St,Belleville,IL,62226,38.54348098,-90.02842152,2,7,1,"{'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'DriveThru': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True'}","Fast Food, Chicken Shop, Chicken Wings, Restaurants","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
12136,CfR34FRl5Eoka0rSusrfNA,Casa Azteca,501 W US Hwy 50,O Fallon,IL,62269,38.588136,-89.918591,3.5,54,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'HasTV': 'True', 'WheelchairAccessible': 'True', 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", 'WiFi': ""u'free'"", 'BYOB': 'False'}","Restaurants, American (New), Mexican","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
12279,_uyLoz0BbrQIVmUEm_td1Q,Jimmy The Greek's,1856 E Broadway,Alton,IL,62002,38.8879587,-90.1582947,3,33,0,"{'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Caters': 'False', 'WiFi': ""u'no'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'quiet'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Greek, Restaurants",
12292,88muUf6A7LmQZK5AXwgtow,Gators,406 W Hwy 50,O'Fallon,IL,62269,38.5883876,-89.9156682,3.5,21,1,"{'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False'}","Ice Cream & Frozen Yogurt, Food","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-22:0'}"
12327,qskG2Zbyiw9jlo0y04eY1g,The Gardens at SIUE,6 Arboretum Ln,Edwardsville,IL,62026,38.8026424,-89.9922597,4,5,1,{'GoodForKids': 'True'},"Botanical Gardens, Arts & Entertainment",
12395,zADmLGvGSO0-ea9CPj_vJA,Rally's,199 Alton Square Mall Dr,Alton,IL,62002,38.919925,-90.1725472,3.5,5,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True'}","Burgers, Fast Food, Restaurants","{'Monday': '10:0-1:0', 'Tuesday': '10:0-1:0', 'Wednesday': '10:0-1:0', 'Thursday': '10:0-1:0', 'Friday': '10:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-1:0'}"
12422,LZns3L4U5HDnpDfctH_KgQ,Fletcher's Kitchen & Tap,1524 Clinton Hills Pkwy,Swansea,IL,62226,38.552231,-89.9641824,3,13,1,"{'RestaurantsReservations': 'True', 'HasTV': 'True', 'Caters': 'True', 'BYOB': 'False', 'BusinessAcceptsBitcoin': 'False', 'Alcohol': ""u'full_bar'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True', 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HappyHour': 'True', 'WiFi': ""u'free'"", 'Corkage': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False'}","Pizza, Restaurants, Steakhouses, American (Traditional)","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
12424,avEtcSYtMMHdP2As_WYZzQ,Spiritos Italian Grocery,228 W Main St,Collinsville,IL,62234,38.669713,-89.988223,4.5,11,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'False'}","Grocery, Food","{'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-14:0'}"
