index,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,GoodForKids,BusinessAcceptsCreditCards,WheelchairAccessible,RestaurantsReservations,RestaurantsPriceRange2,OutdoorSeating,RestaurantsDelivery,Alcohol,HasTV,Caters,RestaurantsGoodForGroups,NoiseLevel,RestaurantsAttire,BikeParking,WiFi,RestaurantsTakeOut,BusinessAcceptsBitcoin,HappyHour,RestaurantsTableService,ByAppointmentOnly,BestNights,Music,GoodForDancing,DogsAllowed,CoatCheck,Smoking,DriveThru,AcceptsInsurance,Corkage,BYOB,BYOBCorkage,DietaryRestrictions,RestaurantsCounterService,Open24Hours,HairSpecializesIn,garage,street,validated,lot,valet,dessert,latenight,lunch,dinner,brunch,breakfast,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual
19378,X_HDJFf4S3DNblJKAQ8W7w,El Maguey,1534 Troy Rd,Edwardsville,IL,62025,38.7942593,-89.9503898,3.5,41,1,"Mexican, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",True,True,True,True,2,True,False,u'full_bar',True,False,True,u'average',u'casual',False,u'no',True,,True,True,,,,,True,,,,,,False,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True
19453,x2POrrskDrnQGIrkPRarfQ,Drury Inn St. Louis Collinsville,602 N Bluff St,Collinsville,IL,62234,38.6833698,-90.0101333,4.0,23,1,"Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,2,,,,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19462,eDtHFooOEbBUjgNK9Jqk9A,NEC Technology Repair,1401 W Main St,Belleville,IL,62220,38.516933,-90.000049,1.5,9,1,"Local Services, Electronics Repair, IT Services & Computer Repair","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19483,jvaM9Y-gS4r519AV2KvtXA,Enterprise Rent-A-Car,830 S Illinois St,Belleville,IL,62220,38.5051769195,-89.9838387519,4.0,5,0,"Car Rental, Hotels & Travel","{'Monday': '7:30-18:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '9:0-12:0', 'Sunday': '10:0-14:0'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19567,edyGVHt_dAR5Dhe6DpuMcQ,17th Street Bar & Grill,1711 W Hwy 50,O'Fallon,IL,62269,38.5861855478,-89.9145286455,3.0,51,0,"Barbeque, Restaurants",,True,True,,True,2,True,False,u'full_bar',True,True,True,u'average',u'casual',,,True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,False,False,False,False,False,False,False,False,False
19766,uMSjGWDniue9EKRhHLfsIw,Moussalli’s Prime,7415 State Route 143,Edwardsville,IL,62025,38.803539,-89.9180776,4.5,58,1,"Steakhouses, Nightlife, Seafood, Cocktail Bars, Bars, Restaurants, American (New), Wine Bars","{'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0'}",,True,True,True,,True,False,u'full_bar',True,,True,u'average',,,u'free',True,,True,True,False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,,False,u'outdoor',,,True,True,,,,,,False,False,False,True,False,,,,True,,,,,,,,,,True,
19767,nwN92Uje-xIKE5voPTTvBQ,BEAST Craft BBQ,20 S Belt W,Belleville,IL,62220,38.5020518,-89.9852273,4.5,583,1,"Restaurants, Barbeque","{'Monday': '0:0-0:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-16:0'}",True,True,True,False,2,False,True,'beer_and_wine',True,True,True,u'average',u'casual',True,u'free',True,False,,False,,,,,False,,,,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True
19889,7jV5J_mfc5Fsz4hT8qttBQ,Duke Bakery,3202 Nameoki Rd,Granite City,IL,62040,38.7202877,-90.1218438,3.0,7,1,"Donuts, Food, Bakeries, Custom Cakes","{'Monday': '6:0-19:0', 'Tuesday': '6:0-19:0', 'Wednesday': '6:0-19:0', 'Thursday': '6:0-19:0', 'Friday': '6:0-19:0', 'Saturday': '6:0-14:0', 'Sunday': '7:0-13:0'}",,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
20039,FTpTzVcJDRs2-g_GJlIEbg,Danny's Brushless Car Wash,333 N Bluff Rd,Collinsville,IL,62234,38.6754466,-90.0134988,2.5,11,0,"Auto Detailing, Car Wash, Automotive","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0', 'Sunday': '7:0-19:0'}",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20065,kUP8plrgTC5f4-pQi-kvFg,Chipotle Mexican Grill,6415 N Illinois St,Fairview Heights,IL,62208,38.5919161065,-89.9855235,2.5,55,1,"Mexican, Restaurants, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '10:45-22:0', 'Wednesday': '10:45-22:0', 'Thursday': '10:45-22:0', 'Friday': '10:45-22:0', 'Saturday': '10:45-22:0', 'Sunday': '10:45-22:0'}",True,True,,False,1,True,True,u'beer_and_wine',True,True,True,u'average',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,False,False,False,False,False,False,False,False,True
20113,3gwwGdwihsmb4TOnUOo6RA,McDonald's,2400 Homer Adams Pkwy,Alton,IL,62002,38.9161826592,-90.1515620854,2.0,14,1,"Food, Burgers, Restaurants, Coffee & Tea, Fast Food","{'Monday': '5:30-23:0', 'Tuesday': '5:30-23:0', 'Wednesday': '5:30-23:0', 'Thursday': '5:30-23:0', 'Friday': '5:30-0:0', 'Saturday': '5:30-0:0', 'Sunday': '6:30-23:0'}",True,True,,False,1,False,True,,True,,True,,'casual',,u'free',True,,,,,,,,,,,True,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20210,-oULvzCU5o1Hwr28Cl5rsg,Ahne's Bakery,201 W Mill St,Waterloo,IL,62298,38.336171,-90.1522965,5.0,14,1,"Restaurants, Bakeries, Food",,,True,,,1,,True,,,,,,,False,,True,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,,,,,,,,,,,,,,,
20381,kA9WWI04pm7FDFPmpQPgiA,Regis Salon,"136 Saint Clair Sq, Saint Clair Square",Fairview Heights,IL,62208,38.59525,-89.980567,2.0,8,0,"Hair Salons, Beauty & Spas","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",,True,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20387,fFv7wUXq5gP539YyOZGI_g,Coyote's Ranch Grill & Saloon,4 Club Center Ct,Edwardsville,IL,62025,38.779003544,-89.9837994576,1.5,6,0,"American (Traditional), Restaurants","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30'}",True,True,,True,2,False,,u'full_bar',True,,True,u'average',u'casual',,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
20546,YN5tPeaskeB842WUiQxTrw,Golden Oak,4519 N Illinois St,Swansea,IL,62226,38.5704438212,-89.9852564234,4.5,68,1,"Pancakes, American (New), Wraps, Burgers, Breakfast & Brunch, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '6:0-14:0', 'Wednesday': '6:0-14:0', 'Thursday': '6:0-14:0', 'Friday': '6:0-14:0', 'Saturday': '6:0-14:0', 'Sunday': '6:0-14:0'}",,True,True,False,2,False,True,u'none',True,False,True,u'average',,False,u'free',True,,False,True,,,,,False,,,,,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,,,
20561,PrF1qZ9L9gQJKZkruB1dCg,Starbucks,1077 Collinsville Crossing Blvd,Collinsville,IL,62234,38.67634,-90.014506,3.5,45,1,"Coffee & Tea, Food","{'Monday': '0:0-0:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-21:0', 'Saturday': '5:0-21:0', 'Sunday': '5:0-21:0'}",,True,,,2,True,False,,,False,,,,True,'free',True,,,,,,,,,,,True,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
20667,JdJn9RwMSlG1W_qY7IDiNQ,Beall Mansion An Elegant Bed & Breakfast,407 E 12th St,Alton,IL,62002,38.8978668,-90.1795461,5.0,40,1,"Public Services & Government, Venues & Event Spaces, Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services, Landmarks & Historical Buildings, Arts & Entertainment, Museums, Wedding Chapels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,False,,,,,,,,,,,,u'free',,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20830,4pPtSIMVH9r5aLHQ0HKSDw,Cafe on the Abbey,322 S Main St,Columbia,IL,62236,38.4417035308,-90.1960688084,4.0,32,1,"Restaurants, American (Traditional), American (New), Cafes, Food, Bakeries, Breakfast & Brunch","{'Monday': '8:0-14:0', 'Tuesday': '8:0-14:0', 'Wednesday': '8:0-14:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}",,True,,,,True,,,True,,,u'average',,,,None,,,,,,,,False,,,,,,,,,,,,,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20914,mIfISzGcOgxifjlYwU9vqg,Mokka Cafe,180 Columbia Ctr,Columbia,IL,62236,38.4465067,-90.2189632,3.5,14,0,"Restaurants, Cafes, Coffee & Tea, Food","{'Monday': '6:0-19:0', 'Tuesday': '6:0-19:0', 'Wednesday': '6:0-19:0', 'Thursday': '6:0-19:0', 'Friday': '6:0-19:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}",True,True,,False,1,True,True,'none',False,False,True,u'average','casual',True,'free',True,,,True,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20974,W_KX5Qgpk9mZEMDJJoqfLw,Geo's Wings & More,4307 W Main St,Belleville,IL,62226,38.5387445,-90.0206783,3.5,34,1,"American (Traditional), Barbeque, Restaurants, Sandwiches, Chicken Wings, Chinese","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-22:0'}",True,True,,False,1,True,False,u'full_bar',True,True,True,u'average',u'casual',True,u'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
21045,j5jN-G_5Hli6sU8D6--tAA,Troy Family Restaurant,307 Bargraves Blvd,Troy,IL,62294,38.732603,-89.899449,3.0,22,1,"Restaurants, American (New), Breakfast & Brunch",,True,True,,False,1,False,False,'none',True,False,True,u'quiet','casual',False,'no',True,,,True,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,,
21081,j3vIYKoh7_BRC4SPopG2eg,Watershed Nature Center,1591 Tower Ave,Edwardsville,IL,62025,38.817067,-89.9741734,5.0,8,1,"Educational Services, Elementary Schools, Recreation Centers, Education, Specialty Schools, Local Services, Local Flavor, Community Service/Non-Profit, Active Life, Parks",,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,,,,,,,,,,,,,,,
21174,08IK4R0eVEJohDrN0ACx7w,Country Inn & Suites,116 Regency Park,O'Fallon,IL,62269,38.5902694,-89.9385828,2.5,18,1,"Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,2,,,,,,,,,,'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21197,GwUfmvUOAWmByr0rRn2aTA,Subway,712 E Broadway,Alton,IL,62002,38.8896767789,-90.1741157695,2.0,7,1,"Fast Food, Sandwiches, Restaurants","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0'}",True,True,,False,1,False,True,,True,True,True,u'quiet','casual',,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False
21233,-DHwIpXvOsJFqYuo585eOg,Red Robin Gourmet Burgers and Brews,6699 Edwardsville Crossing Dr,Edwardsville,IL,62025,38.7895595,-89.9519582,3.0,76,1,"Hot Dogs, American (Traditional), Restaurants, Burgers","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,True,True,False,2,True,True,u'full_bar',True,False,True,'average',u'casual',True,'no',True,,,True,,,,,,,,False,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
21296,zciO1XFzcKlX98Bi3XOGww,Subway,"3901 N Belt W, Ste B",Bellville,IL,62226,38.5418445487,-90.0138957454,1.5,6,1,"Restaurants, Sandwiches, Fast Food","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-19:0'}",True,True,,True,1,False,True,u'none',,True,True,,u'casual',False,,False,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,,,
21376,6fhSY7lGaqYUQaswAq3_mA,Park Grill,2800 E 23rd St,Granite City,IL,62040,38.7019329,-90.1219717,4.5,16,1,"Restaurants, American (Traditional), Salad, Burgers",,True,False,,False,1,False,False,u'none',True,,True,u'quiet',u'casual',False,u'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,False,,,,False,False,False,,True
21388,CiAVBOb0faUQg9c6m4ypfA,First Stop Bake Shop,611 E Airline Dr,Rosewood Heights,IL,62024,38.8860507169,-90.0712425325,5.0,23,0,"Pizza, Sandwiches, Donuts, Restaurants, Food, Bakeries","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-13:0'}",,True,True,,1,,False,,,True,,,,True,,True,False,False,,,,,,True,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
21390,6eEVAb20I2_deOhBHYKhVw,Best Western Plus Parkway Hotel,1900 Homer Adams Pkwy,Alton,IL,62002,38.9182603,-90.1626311,3.0,20,1,"Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,2,,,,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21447,z_F4Ll_wFHFYFcMFPRDl3A,Atrium Hotel & Conference Center,3559 College Ave,Alton,IL,62002,38.9042835,-90.1330755,4.0,19,0,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Party & Event Planning, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,True,,2,,,,,,,,,,'free',,False,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21492,1-I1BKiI35BIR8MIjEHZjg,Premium Cleaners,5166 N Illinois St,Fairview Heights,IL,62208,38.5785669,-89.984369,3.0,7,1,"Local Services, Dry Cleaning & Laundry, Laundry Services","{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0', 'Sunday': '10:0-16:0'}",,True,,,1,,,,,,,,,True,'no',,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,,,
21518,RYZwCcxZqTt15hXg-0ASRg,The Weeping Willow Tea Room,123 Glen Crossing Rd,Glen Carbon,IL,62034,38.7533220874,-89.9754617,5.0,5,1,"Soup, Restaurants, Food, Tea Rooms, Breakfast & Brunch, Sandwiches","{'Tuesday': '10:0-14:0', 'Wednesday': '10:0-14:0', 'Thursday': '10:0-14:0', 'Friday': '10:0-14:0'}",,,,,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21775,cQh5zheVzvUN3nbmgGeAEg,Southern Illinois Associates,"16 Junction Dr W, Ste 2",Glen Carbon,IL,62034,38.7778781,-89.9571528,2.5,5,1,"Doctors, Psychiatrists, Counseling & Mental Health, Health & Medical","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}",,True,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
21825,d4qVVElEjQrsKBg3ytSWww,McDonald's,2045 Madison Ave,Granite City,IL,62040,38.7008355403,-90.145560801,1.5,7,1,"Food, Fast Food, Restaurants, Burgers, Coffee & Tea","{'Monday': '5:0-0:0', 'Tuesday': '5:0-0:0', 'Wednesday': '5:0-0:0', 'Thursday': '5:0-0:0', 'Friday': '5:0-0:0', 'Saturday': '4:0-0:0', 'Sunday': '4:0-0:0'}",,,,,1,,True,,True,,,,,,u'free',True,,,,,,,,,,,True,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21897,r8UJ7A8O7ebHUHZeufRl8w,Circle K,1242 Thouvenot Ln,Shiloh,IL,62269,38.5713264,-89.9466327,4.0,5,1,"Food, Gas Stations, Convenience Stores, Automotive","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,2,,True,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,,,
21900,9pR0X3oKUuSeL3DCsu97_w,Holiday Inn Hotel Alton - Lewis & Clark Trail Site,3800 Homer Adams Pkwy,Alton,IL,62002,38.9033249,-90.1307136,2.0,8,0,"Venues & Event Spaces, Event Planning & Services, Hotels, Hotels & Travel",,,True,,,3,,,,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,PFgsZA3Gxp6Ceqjd52EtOg,D.S. Vespers Sports Pub and Eatery,701 S Belt W,Belleville,IL,62220,38.5036169871,-89.9947985644,3.0,33,1,"Nightlife, Active Life, Shopping, Restaurants, Bars, Sports Bars, American (New), Mini Golf, Hobby Shops, Pubs","{'Monday': '16:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:0-0:0', 'Thursday': '16:0-0:0', 'Friday': '16:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '12:0-23:0'}",True,True,,False,2,True,False,u'full_bar',True,False,True,u'average',u'casual',True,'free',True,,,,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22085,MXcjcEarStUi0wDzqOt9GA,The Home Depot,1710 Homer Adams Pkwy,Alton,IL,62002,38.9209721148,-90.1651531,3.5,8,1,"Nurseries & Gardening, Shopping, Home & Garden, Appliances, Hardware Stores","{'Monday': '0:0-0:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-18:0', 'Friday': '9:0-20:0', 'Saturday': '6:0-21:0', 'Sunday': '7:0-20:0'}",,True,,,2,,,,,,,,,True,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22123,zssHuR6YBH1KUoMggIXpJQ,Speedway Salvage,520 Old Madison Rd,East St. Louis,IL,62201,38.659459,-90.132913,3.0,14,1,"Car Dealers, Automotive, Auto Parts & Supplies","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '9:0-17:0'}",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22284,PVBqXp0NFpx4gUObO9ERWQ,Comfort Inn,11 CrossRds Ct,Alton,IL,62002,38.902984000000004,-90.131768,3.0,10,1,"Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,2,,,,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22391,d9OfE7aFb82T7vVYTlya6g,Sandwich Shop,216 W Main St,Collinsville,IL,62234,38.669243,-89.9880134,4.5,12,0,"Sandwiches, Restaurants",,True,True,,False,1,False,False,u'none',False,False,True,u'average',u'casual',True,u'no',True,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
22430,VIbI9Ds6-XwaR6bZdo1s2w,Verizon,5902 N Illinois St,Fairview Heights,IL,62208,38.5858372253,-89.9843902179,2.0,9,1,"Shopping, Electronics, Internet Service Providers, Home Services, Professional Services, Mobile Phones","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-17:0'}",,True,,,3,,True,,,,,,,True,,True,,,,False,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,,,,,,
22451,5wmCFs7fTLqtdqCxwGX5Cg,Bridal Parlour,3630 Green Mount Crossing Dr,Shiloh,IL,62269,38.5718951,-89.9237902,5.0,7,1,"Bridal, Shopping","{'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '10:0-17:0'}",,True,True,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22483,cVOC5jLNpP78yf5kh-gx_g,Classic K Hamburgers,1613 Camp Jackson Rd,Cahokia,IL,62206,38.5542779,-90.165924,4.0,15,1,"Restaurants, Fast Food, Burgers","{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-21:0'}",True,True,,False,1,False,False,u'none',True,False,True,,u'casual',True,u'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,False,False,False,False,False,False,False,False,True
22565,eYW8j9aiyao04Z16fFRzng,Sake Sushi Bar and Grill,1325 Central Park Dr,O Fallon,IL,62269,38.589075,-89.945672,4.5,113,1,"Japanese, Restaurants, Sushi Bars","{'Monday': '0:0-0:0', 'Tuesday': '16:0-20:30', 'Wednesday': '16:0-20:30', 'Thursday': '16:0-20:30', 'Friday': '16:0-21:0', 'Saturday': '16:0-21:0'}",True,True,,True,2,False,False,u'full_bar',True,False,True,u'average',u'casual',True,'free',True,,,True,,,,,False,,,,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,,False,,False,True
22582,kIBasxKczy0DC4MVUo-7ww,Nettie B's,8201 W Main St,Belleville,IL,62223,38.5670968992,-90.0501811132,4.0,6,1,"Restaurants, Seafood, Southern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22601,bs7GKWBcTpO4lvFVZqZuxg,Stumpy's Spirits,1727 Centerville Rd,Columbia,IL,62236,38.4256670057,-90.1617368683,5.0,17,1,"Distilleries, Food","{'Thursday': '13:0-17:0', 'Friday': '13:0-17:0', 'Saturday': '12:0-18:0', 'Sunday': '13:0-17:0'}",,True,,,2,,,,,False,,,,False,,True,,,,,,,,,,,,,,,,,,,,False,,False,True,False,,,,,,,,,,,,,,,
22713,we1nATRn9xrMX_tl-kRG9Q,Dollar Tree,5831 Belleville Crossing St,Belleville,IL,62226,38.5260505676,-90.0323104858,4.0,5,1,"Discount Store, Shopping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22911,WrJ76ufOQn2RGGOY7ugbbQ,Belleville Animal Clinic,1600 N Belt E,Belleville,IL,62221,38.5240497,-89.9611883,3.0,24,1,"Pet Stores, Pet Services, Pet Groomers, Veterinarians, Pets","{'Monday': '7:30-19:0', 'Tuesday': '7:30-19:0', 'Wednesday': '7:30-19:0', 'Thursday': '7:30-19:0', 'Friday': '7:30-18:0', 'Saturday': '7:30-16:0'}",,False,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22973,kweSZ9NQ5WjWMYtzZtAzdA,New China,133 E Bethalto Dr,Bethalto,IL,62010,38.899857,-90.038434,4.5,28,1,"Restaurants, Chinese",,True,True,,False,1,False,True,u'none',True,False,True,u'quiet','casual',False,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,True,True,,,,,,,,,,,True
